rt,mz,spectrum,intensity
1482.75,472.24563,501,119
1482.75,472.252429,509,58
1483.292,472.23883,476,159
1483.292,472.23883,480,119
1483.292,472.23543,483,81
1483.292,472.252429,483,139
1483.292,472.24563,485,97
1483.292,472.24223,486,115
1483.292,472.23883,488,111
1483.292,472.252429,489,143
1483.292,472.23883,490,187
1483.292,472.252429,490,83
1483.292,472.249029,491,91
1483.292,472.23883,494,235
1483.292,472.24563,495,73
1483.292,472.24563,497,185
1483.292,472.24563,499,183
1483.292,472.23543,500,171
1483.292,472.24563,501,143
1483.292,472.24563,503,51
1483.292,472.24563,506,115
1483.292,472.24563,517,35
1483.292,472.23883,519,113
1483.832,472.249029,478,25
1483.832,472.23883,480,47
1483.832,472.252429,482,132
1483.832,472.24223,483,47
1483.832,472.249029,485,116
1483.832,472.24223,488,246
1483.832,472.23883,490,47
1483.832,472.249029,494,177
1483.832,472.23883,497,218
1483.832,472.249029,499,21
1483.832,472.24223,500,171
1483.832,472.249029,502,51
1483.832,472.23883,503,201
1483.832,472.24223,506,69
1483.832,472.252429,506,64
1484.372,472.249029,470,84
1484.372,472.249029,477,202
1484.372,472.24223,479,101
1484.372,472.23883,481,47
1484.372,472.249029,481,42
1484.372,472.249029,482,261
1484.372,472.23883,489,103
1484.372,472.24563,490,228
1484.372,472.24223,491,319
1484.372,472.249029,494,72
1484.372,472.249029,495,204
1484.372,472.252429,496,174
1484.372,472.24563,497,265
1484.372,472.24563,499,242
1484.372,472.252429,504,225
1484.372,472.23883,506,117
1484.915,472.24563,472,62
1484.915,472.24223,477,139
1484.915,472.24223,484,112
1484.915,472.23543,488,144
1484.915,472.24563,488,97
1484.915,472.24563,491,104
1484.915,472.249029,492,144
1484.915,472.249029,493,104
1484.915,472.249029,495,181
1484.915,472.24563,498,186
1484.915,472.249029,500,159
1484.915,472.24563,502,112
1484.915,472.23543,504,79
